charge_weight_kg,explosive_type,charge_shape,tnt_equivalent_weight_kg,standoff_distance_m,scaled_distance_Z,structure_type,quality_factor,peak_overpressure_kpa,impulse_kpa_ms,damage_category
2.618,C4,spherical,3.587,11.933,7.7957,steel_frame,0.804,33.771,3.722,none
13.533,TNT,hemispherical,27.066,1.425,0.4745,masonry_wall,1.032,4588.613,88.611,collapse
1614.026,RDX,cylindrical,3357.174,1.315,0.0879,steel_frame,0.976,15658.244,1025.506,collapse
0.889,C4,spherical,1.218,193.218,180.9183,rc_wall,0.99,6.756,0.629,none
19.023,ANFO,cylindrical,20.279,118.018,43.2782,masonry_wall,1.069,7.82,1.503,none
10.401,RDX,cylindrical,21.634,1.319,0.4733,glazing_window,0.832,5151.617,80.806,collapse
63.303,RDX,spherical,101.285,1.567,0.3361,rc_wall,1.053,7867.068,199.976,collapse
14.673,ANFO,hemispherical,24.064,130.328,45.1416,glazing_window,1.136,7.418,1.79,none
1343.51,C4,cylindrical,2392.792,121.846,9.1098,glazing_window,1.125,25.633,23.815,severe
1461.089,TNT,spherical,1461.089,31.724,2.7958,glazing_window,1.019,211.717,64.212,collapse
8.718,TNT,spherical,8.718,44.671,21.7046,steel_frame,1.12,9.847,1.918,none
1398.39,RDX,spherical,2237.424,134.652,10.2951,masonry_wall,0.903,21.843,23.719,minor
543.079,TNT,hemispherical,1086.158,22.441,2.1831,glazing_window,1.095,292.966,67.737,collapse
1102.18,C4,spherical,1509.986,1.181,0.1029,steel_frame,0.922,15480.196,860.099,collapse
395.759,RDX,hemispherical,1266.429,86.988,8.0401,steel_frame,1.08,32.6,22.992,none
17.788,C4,cylindrical,31.68,2.52,0.7963,steel_frame,1.13,1836.969,61.475,moderate
35.667,RDX,hemispherical,114.134,9.42,1.9419,rc_wall,1.065,374.291,39.342,minor
4.372,ANFO,spherical,3.585,1.584,1.0353,steel_frame,1.049,1247.829,18.655,none
17.863,TNT,hemispherical,35.726,37.469,11.3766,glazing_window,0.978,18.455,4.802,minor
406.575,ANFO,cylindrical,433.409,26.191,3.4609,masonry_wall,0.905,110.576,29.286,moderate
25.174,RDX,cylindrical,52.361,1.455,0.389,glazing_window,0.989,7229.855,149.332,collapse
11.062,C4,cylindrical,19.702,141.045,52.2218,steel_frame,1.017,6.848,1.712,none
737.836,C4,hemispherical,2021.67,2.121,0.1677,glazing_window,1.048,14858.882,774.23,collapse
316.267,RDX,cylindrical,657.835,13.142,1.5111,masonry_wall,1.033,567.964,89.527,collapse
144.074,C4,spherical,197.381,3.513,0.6034,masonry_wall,1.228,3179.847,126.635,collapse
1839.797,ANFO,spherical,1508.634,28.829,2.5136,rc_wall,1.095,251.429,67.7,moderate
47.002,C4,cylindrical,83.71,5.151,1.1776,rc_wall,1.055,1017.428,53.332,minor
7.179,ANFO,hemispherical,11.773,13.988,6.1487,steel_frame,0.968,42.388,5.926,none
19.945,C4,spherical,27.324,75.675,25.1249,rc_wall,1.036,8.698,2.48,none
21.954,RDX,hemispherical,70.254,12.588,3.0507,glazing_window,0.802,140.831,20.21,collapse
3.182,C4,spherical,4.359,27.153,16.6229,steel_frame,0.867,13.756,1.708,none
367.1,TNT,spherical,367.1,4.719,0.659,steel_frame,1.074,3105.377,163.774,collapse
251.752,RDX,hemispherical,805.607,1.673,0.1798,rc_wall,0.919,14788.74,607.542,collapse
163.211,RDX,spherical,261.138,16.627,2.6014,steel_frame,1.206,189.394,33.326,minor
708.137,TNT,spherical,708.137,14.949,1.6771,rc_wall,0.975,475.933,82.057,moderate
75.454,TNT,spherical,75.454,104.979,24.8432,steel_frame,1.032,8.982,3.408,none
129.148,TNT,hemispherical,258.296,2.613,0.4103,rc_wall,1.16,6389.059,204.83,collapse
489.868,ANFO,hemispherical,803.383,10.021,1.0779,masonry_wall,1.037,1230.189,125.385,collapse
33.687,TNT,spherical,33.687,58.059,17.977,masonry_wall,1.139,12.083,3.343,none
2.039,C4,hemispherical,5.586,186.322,105.0071,steel_frame,0.935,8.176,1.013,none
848.032,C4,spherical,1161.804,15.665,1.4901,masonry_wall,1.207,638.467,111.389,collapse
10.007,C4,spherical,13.71,7.915,3.3073,rc_wall,1.005,127.693,11.024,none
0.629,ANFO,cylindrical,0.67,76.473,87.3778,steel_frame,1.253,6.475,0.509,none
1.877,C4,spherical,2.571,5.248,3.8308,masonry_wall,1.08,114.047,5.695,none
23.846,C4,hemispherical,65.337,85.523,21.234,rc_wall,1.059,10.637,3.524,none
2.965,ANFO,spherical,2.432,78.424,58.3207,rc_wall,1.036,6.871,0.814,none
383.021,TNT,spherical,383.021,67.919,9.3523,masonry_wall,1.055,26.761,12.988,none
8.066,RDX,spherical,12.906,109.09,46.5071,masonry_wall,1.135,7.341,1.491,none
86.933,ANFO,spherical,71.285,3.952,0.9531,steel_frame,1.172,1359.312,60.648,moderate
0.642,ANFO,spherical,0.527,2.533,3.1363,steel_frame,0.845,153.766,4.125,none
1.686,ANFO,spherical,1.383,19.347,17.3658,glazing_window,0.875,10.92,1.139,none
3.961,RDX,spherical,6.338,23.333,12.6084,glazing_window,1.033,18.304,2.611,none
5.686,C4,cylindrical,10.127,3.366,1.5558,rc_wall,0.814,556.289,21.832,none
1.16,RDX,hemispherical,3.711,1.462,0.9441,rc_wall,0.933,1468.954,26.373,none
1403.071,TNT,spherical,1403.071,1.738,0.1553,rc_wall,0.955,15987.509,678.642,collapse
39.36,RDX,cylindrical,81.868,25.491,5.8705,masonry_wall,0.981,52.144,12.743,none
145.992,TNT,spherical,145.992,5.735,1.0891,steel_frame,1.081,1065.857,63.122,moderate
310.605,RDX,spherical,496.968,28.963,3.6565,glazing_window,1.059,129.301,35.393,collapse
175.53,ANFO,cylindrical,187.114,1.336,0.2336,masonry_wall,1.053,13919.531,365.482,collapse
203.679,C4,spherical,279.04,115.257,17.6379,masonry_wall,0.988,12.833,7.693,none
29.839,RDX,cylindrical,62.066,7.939,2.0051,steel_frame,0.792,398.05,28.467,minor
0.659,RDX,spherical,1.054,1.314,1.2915,rc_wall,0.889,932.599,11.574,none
442.339,C4,cylindrical,787.805,3.996,0.4326,glazing_window,0.824,6422.138,316.586,collapse
321.126,C4,spherical,439.942,1.752,0.2303,steel_frame,1.023,14642.904,470.701,collapse
3.362,ANFO,cylindrical,3.584,15.807,10.3288,glazing_window,0.911,20.386,3.001,none
680.75,RDX,spherical,1089.2,11.677,1.1349,rc_wall,1.15,986.482,130.856,severe
0.604,ANFO,spherical,0.495,1.736,2.1944,rc_wall,1.008,262.286,4.376,none
0.866,RDX,hemispherical,2.771,36.224,25.7903,glazing_window,1.1,9.943,1.168,none
70.09,ANFO,hemispherical,114.947,32.495,6.6832,steel_frame,0.846,45.144,9.79,none
389.699,ANFO,spherical,319.553,1.006,0.1471,rc_wall,0.946,18134.601,511.689,collapse
5.806,RDX,hemispherical,18.58,2.625,0.9911,rc_wall,0.97,1147.618,38.115,minor
346.939,ANFO,spherical,284.49,46.58,7.0824,rc_wall,0.955,44.38,15.658,none
1019.763,RDX,cylindrical,2121.108,32.955,2.5649,steel_frame,0.945,203.813,71.991,severe
1444.48,RDX,hemispherical,4622.336,76.614,4.5992,masonry_wall,1.182,77.884,62.574,moderate
10.198,TNT,cylindrical,13.257,55.11,23.285,steel_frame,0.924,8.822,1.886,none
1805.138,ANFO,cylindrical,1924.277,3.177,0.2554,glazing_window,0.744,11277.573,697.472,collapse
1.495,C4,cylindrical,2.662,15.17,10.9451,steel_frame,1.041,21.51,2.294,none
970.746,C4,hemispherical,2659.844,8.329,0.6012,rc_wall,1.045,3529.892,349.211,collapse
41.055,TNT,hemispherical,82.11,21.407,4.9251,steel_frame,1.023,68.69,12.953,none
3.143,RDX,hemispherical,10.057,1.868,0.8656,steel_frame,0.98,1727.066,41.564,moderate
188.233,C4,spherical,257.879,19.53,3.0682,masonry_wall,0.843,146.076,31.272,moderate
45.189,ANFO,spherical,37.055,123.523,37.051,steel_frame,0.96,7.717,1.807,none
235.647,RDX,cylindrical,490.145,1.888,0.2394,rc_wall,0.775,12835.524,406.913,collapse
590.565,C4,cylindrical,1051.796,34.83,3.4248,masonry_wall,1.131,121.932,46.353,moderate
14.205,ANFO,cylindrical,15.142,2.059,0.8324,rc_wall,1.066,1800.74,42.877,minor
3.736,RDX,hemispherical,11.956,44.411,19.4218,glazing_window,1.077,11.611,2.581,none
11.473,C4,cylindrical,20.434,4.032,1.475,steel_frame,0.84,670.564,26.388,minor
21.902,C4,hemispherical,60.011,18.716,4.7804,steel_frame,0.804,78.984,10.492,none
5.332,C4,cylindrical,9.497,25.458,12.0217,steel_frame,1.092,15.739,3.214,none
1.512,ANFO,spherical,1.24,6.913,6.4353,steel_frame,0.954,41.227,2.55,none
2.989,C4,cylindrical,5.323,3.888,2.2267,masonry_wall,0.932,283.465,10.517,none
5.143,TNT,spherical,5.143,3.239,1.8768,masonry_wall,1.019,415.585,12.938,none
12.344,RDX,spherical,19.75,165.371,61.1787,glazing_window,0.89,6.945,1.638,none
0.994,ANFO,spherical,0.815,15.726,16.8344,glazing_window,0.999,13.262,1.105,none
2.488,TNT,spherical,2.488,42.715,31.5212,steel_frame,0.93,7.782,0.838,none
66.329,ANFO,cylindrical,70.707,18.702,4.5228,glazing_window,0.972,77.1,15.528,severe
0.769,C4,spherical,1.053,35.236,34.6313,steel_frame,1.178,7.316,0.602,none
80.475,RDX,spherical,128.76,99.132,19.6314,glazing_window,1.024,12.024,5.465,minor
10.049,C4,hemispherical,27.535,7.713,2.5542,rc_wall,1.084,229.56,18.778,none
10.156,TNT,cylindrical,13.202,10.454,4.423,rc_wall,1.017,78.989,9.325,none
0.948,RDX,spherical,1.518,157.129,136.7351,glazing_window,1.08,6.453,0.615,none
3.675,RDX,hemispherical,11.759,4.472,1.9664,glazing_window,0.777,362.358,16.385,collapse
635.257,RDX,hemispherical,2032.822,121.735,9.6098,glazing_window,1.187,25.856,21.446,severe
0.619,TNT,hemispherical,1.237,2.122,1.9771,rc_wall,0.795,349.265,8.918,none
153.752,RDX,spherical,246.003,2.092,0.3339,masonry_wall,1.001,9078.733,245.236,collapse
916.103,TNT,hemispherical,1832.205,103.857,8.4874,glazing_window,0.976,31.242,23.291,collapse
3.977,C4,cylindrical,7.082,139.089,72.4269,steel_frame,1.009,7.488,0.9,none
344.397,C4,hemispherical,943.649,1.463,0.1492,rc_wall,1.068,17232.689,609.288,collapse
33.804,ANFO,cylindrical,36.035,9.525,2.8837,glazing_window,1.088,185.229,17.022,severe
84.928,ANFO,hemispherical,139.282,97.604,18.8293,glazing_window,1.041,10.934,5.377,minor
3.117,TNT,hemispherical,6.235,6.513,3.5386,rc_wall,0.906,109.802,8.151,none
79.264,TNT,spherical,79.264,1.092,0.2543,glazing_window,1.059,13888.747,195.743,collapse
1.354,ANFO,spherical,1.111,34.477,33.2935,masonry_wall,1.12,7.956,0.667,none
420.312,TNT,spherical,420.312,1.976,0.2638,rc_wall,0.972,12523.963,424.882,collapse
1.823,RDX,cylindrical,3.791,1.624,1.0417,steel_frame,1.012,1248.523,16.763,none
108.912,RDX,cylindrical,226.537,1.501,0.2463,masonry_wall,1.19,13319.053,333.268,collapse
192.198,RDX,cylindrical,399.773,35.574,4.8291,glazing_window,0.717,77.664,27.495,collapse
231.987,TNT,cylindrical,301.583,22.996,3.4292,masonry_wall,1.006,109.834,30.414,moderate
358.162,C4,hemispherical,981.364,1.516,0.1526,masonry_wall,0.884,14541.524,783.9,collapse
29.265,C4,cylindrical,52.122,3.765,1.0079,rc_wall,0.882,1388.048,59.868,moderate
2.626,ANFO,spherical,2.153,12.334,9.5514,steel_frame,1.197,28.683,2.328,none
52.29,TNT,hemispherical,104.579,105.017,22.29,rc_wall,1.032,10.389,4.31,none
52.542,TNT,spherical,52.542,37.431,9.9938,masonry_wall,1.038,23.957,7.136,none
2.71,TNT,cylindrical,3.523,1.393,0.9153,masonry_wall,0.98,1580.243,23.102,minor
6.348,RDX,hemispherical,20.312,1.626,0.5959,masonry_wall,0.895,3889.141,67.845,collapse
1451.848,C4,cylindrical,2585.742,139.155,10.1384,masonry_wall,1.169,25.424,22.186,none
1.941,ANFO,hemispherical,3.184,18.589,12.6363,rc_wall,1.172,17.194,1.916,none
102.831,ANFO,hemispherical,168.642,14.155,2.5621,steel_frame,1.037,243.406,33.183,minor
60.169,ANFO,cylindrical,64.14,3.96,0.9893,rc_wall,1.133,1396.093,50.817,minor
52.395,TNT,cylindrical,68.114,2.538,0.6216,glazing_window,1.156,3581.106,92.179,collapse
156.041,C4,hemispherical,427.551,3.716,0.4932,masonry_wall,0.992,5730.188,215.902,collapse
8.439,RDX,hemispherical,27.005,39.118,13.0386,glazing_window,0.885,19.326,4.586,minor
1394.346,ANFO,hemispherical,2286.727,8.922,0.6772,glazing_window,1.037,2036.769,323.319,collapse
33.703,TNT,hemispherical,67.407,3.167,0.7782,rc_wall,1.056,2241.218,70.712,moderate
161.582,TNT,cylindrical,210.057,15.44,2.5974,glazing_window,0.913,241.878,33.336,collapse
16.069,TNT,hemispherical,32.138,1.239,0.3896,glazing_window,0.811,6378.371,114.232,collapse
1053.671,ANFO,spherical,864.01,2.892,0.3036,steel_frame,1.11,9410.446,408.947,collapse
91.071,ANFO,hemispherical,149.356,133.221,25.1091,glazing_window,1.075,9.003,4.598,minor
2.06,ANFO,spherical,1.689,9.973,8.3747,masonry_wall,0.897,28.123,2.5,none
6.058,ANFO,spherical,4.968,23.646,13.8584,masonry_wall,1.029,14.309,2.361,none
41.748,ANFO,spherical,34.234,5.858,1.804,masonry_wall,0.898,431.124,27.41,moderate
8.176,TNT,cylindrical,10.629,11.105,5.0507,rc_wall,0.95,59.442,6.845,none
523.901,RDX,spherical,838.242,44.499,4.7195,masonry_wall,1.049,72.449,31.664,moderate
2.094,ANFO,cylindrical,2.232,25.918,19.8312,masonry_wall,0.909,9.619,1.305,none
2.377,TNT,spherical,2.377,2.276,1.7052,glazing_window,0.939,504.988,9.973,severe
34.09,ANFO,hemispherical,55.908,75.229,19.674,steel_frame,1.265,11.697,3.774,none
1.358,RDX,cylindrical,2.824,1.506,1.0652,masonry_wall,0.971,1062.906,19.231,minor
1.497,ANFO,hemispherical,2.455,1.204,0.8927,rc_wall,0.932,1693.166,22.669,none
8.173,RDX,cylindrical,16.999,3.538,1.3758,steel_frame,1.171,723.48,26.25,minor
0.761,ANFO,hemispherical,1.248,4.434,4.1185,glazing_window,0.967,94.029,4.316,minor
45.245,C4,cylindrical,80.581,84.534,19.5713,steel_frame,0.928,9.926,4.742,none
0.778,RDX,cylindrical,1.618,116.591,99.3233,glazing_window,0.929,7.344,0.661,none
5.529,TNT,cylindrical,7.188,102.423,53.0725,steel_frame,0.879,6.888,1.083,none
13.683,RDX,cylindrical,28.461,6.102,1.9987,glazing_window,1.092,389.905,23.141,collapse
1.777,C4,cylindrical,3.164,93.823,63.9066,steel_frame,0.816,8.654,0.936,none
164.697,ANFO,cylindrical,175.567,4.409,0.7874,rc_wall,1.147,1857.422,83.905,moderate
225.128,C4,spherical,308.426,1.736,0.2569,steel_frame,1.056,10401.717,336.576,collapse
0.571,TNT,spherical,0.571,187.702,226.293,rc_wall,0.956,7.405,0.443,none
24.705,ANFO,cylindrical,26.336,25.728,8.6476,glazing_window,0.835,28.531,5.813,moderate
4.745,RDX,cylindrical,9.869,197.407,92.0328,rc_wall,0.852,7.627,1.121,none
1781.63,RDX,spherical,2850.608,9.792,0.6906,rc_wall,1.04,2695.414,245.295,collapse
0.569,C4,spherical,0.78,116.799,126.8738,steel_frame,0.939,7.749,0.524,none
73.878,ANFO,spherical,60.58,21.342,5.4341,glazing_window,0.795,51.149,9.636,severe
31.319,TNT,hemispherical,62.638,2.386,0.6009,steel_frame,1.108,3142.221,87.536,severe
17.386,C4,hemispherical,47.637,88.876,24.517,steel_frame,1.04,10.216,2.952,none
112.251,C4,spherical,153.784,2.03,0.3789,steel_frame,0.979,6328.37,210.224,collapse
17.859,RDX,cylindrical,37.147,2.948,0.8837,masonry_wall,0.811,1519.869,50.492,collapse
19.461,C4,hemispherical,53.324,2.728,0.7249,glazing_window,0.905,2134.963,79.036,collapse
19.561,TNT,cylindrical,25.429,23.167,7.8783,glazing_window,0.851,33.768,6.19,moderate
0.879,ANFO,cylindrical,0.937,5.874,6.0027,glazing_window,1.055,51.828,2.555,none
281.431,ANFO,hemispherical,461.547,5.847,0.7566,steel_frame,0.812,2166.216,169.919,collapse
1.273,ANFO,cylindrical,1.357,3.03,2.7366,masonry_wall,1.212,203.051,6.49,none
15.851,ANFO,hemispherical,25.995,4.266,1.4402,masonry_wall,1.087,588.305,31.845,moderate
1.44,RDX,cylindrical,2.996,4.017,2.7866,steel_frame,0.882,211.713,7.74,none
13.033,RDX,spherical,20.853,1.627,0.591,rc_wall,1.012,3518.5,66.22,moderate
613.434,TNT,cylindrical,797.464,2.154,0.2323,masonry_wall,0.975,13063.716,631.621,collapse
341.432,C4,hemispherical,935.524,6.237,0.6377,steel_frame,1.085,2878.251,192.358,collapse
1672.699,C4,hemispherical,4583.195,5.453,0.3283,rc_wall,0.871,8615.409,612.339,collapse
1.616,C4,hemispherical,4.429,13.202,8.0393,glazing_window,0.857,29.925,3.239,minor
209.283,ANFO,spherical,171.612,1.5,0.2699,masonry_wall,0.736,10566.774,303.148,collapse
62.918,RDX,hemispherical,201.336,6.377,1.0881,masonry_wall,1.124,1186.282,68.156,severe
53.323,ANFO,spherical,43.725,3.093,0.878,rc_wall,1.117,1642.333,57.084,minor
1904.733,TNT,hemispherical,3809.465,59.772,3.8271,glazing_window,1.011,111.984,61.522,collapse
169.024,RDX,spherical,270.439,111.074,17.1761,masonry_wall,1.129,12.197,7.033,none
313.732,C4,spherical,429.813,1.028,0.1363,masonry_wall,1.127,15914.481,449.174,collapse
14.3,RDX,spherical,22.879,10.956,3.8593,steel_frame,0.863,114.888,9.736,none
2.605,RDX,hemispherical,8.337,4.152,2.0476,masonry_wall,0.898,387.737,13.086,none
4.429,C4,hemispherical,12.137,5.081,2.2109,steel_frame,1.084,286.347,16.363,none
423.825,C4,cylindrical,754.832,7.889,0.8664,steel_frame,0.995,1916.509,153.738,collapse
37.442,TNT,hemispherical,74.884,1.527,0.3623,masonry_wall,1.057,6061.501,147.208,collapse
1.103,C4,cylindrical,1.964,6.434,5.138,steel_frame,0.913,54.241,3.77,none
1743.075,ANFO,spherical,1429.321,1.651,0.1466,rc_wall,0.88,17344.698,759.605,collapse
0.77,ANFO,cylindrical,0.821,11.061,11.8119,masonry_wall,0.853,20.375,1.436,none
1488.268,C4,spherical,2038.927,1.87,0.1475,steel_frame,1.039,14396.972,785.567,collapse
10.01,TNT,hemispherical,20.02,43.795,16.1289,masonry_wall,1.203,12.821,3.153,none
893.572,RDX,spherical,1429.715,4.624,0.4105,glazing_window,1.034,6219.808,461.045,collapse
1.292,ANFO,hemispherical,2.119,26.951,20.9844,masonry_wall,1.054,9.189,1.106,none
6.008,C4,cylindrical,10.701,21.748,9.8691,masonry_wall,1.102,24.286,3.99,none
1170.164,RDX,hemispherical,3744.524,1.436,0.0925,glazing_window,0.986,17821.001,1066.161,collapse
33.462,ANFO,cylindrical,35.671,6.11,1.856,rc_wall,0.902,429.074,26.01,none
8.781,TNT,cylindrical,11.415,6.795,3.0179,steel_frame,1.037,184.016,10.955,none
99.938,TNT,spherical,99.938,1.044,0.225,rc_wall,0.894,14516.51,292.769,collapse
190.014,ANFO,hemispherical,311.623,27.497,4.0558,steel_frame,0.905,105.808,28.677,minor
8.414,TNT,hemispherical,16.827,2.417,0.9431,masonry_wall,1.013,1537.483,36.629,moderate
231.645,RDX,cylindrical,481.822,35.587,4.5393,rc_wall,1.012,72.867,25.767,none
1486.988,C4,cylindrical,2648.325,11.841,0.8559,steel_frame,1.158,1955.062,237.262,collapse
104.218,ANFO,spherical,85.459,3.515,0.7981,steel_frame,1.088,2257.246,76.046,severe
114.184,RDX,cylindrical,237.503,39.853,6.4353,masonry_wall,0.842,48.623,15.445,minor
1.431,ANFO,hemispherical,2.347,3.051,2.2957,glazing_window,0.971,251.847,8.419,moderate
1056.977,RDX,cylindrical,2198.513,28.912,2.2235,glazing_window,1.025,313.381,86.963,collapse
42.195,C4,hemispherical,115.613,11.02,2.2622,steel_frame,1.024,298.901,31.119,minor
1.424,ANFO,spherical,1.168,3.789,3.5986,masonry_wall,1.053,104.742,5.203,none
3.179,RDX,hemispherical,10.173,18.021,8.3168,steel_frame,1.167,40.026,4.913,none
61.289,C4,cylindrical,109.156,6.438,1.3471,steel_frame,1.119,698.739,46.114,moderate
78.056,RDX,spherical,124.89,38.401,7.6825,rc_wall,0.998,30.767,10.487,none
0.748,C4,hemispherical,2.05,26.737,21.0491,rc_wall,0.87,10.775,1.261,none
6.783,ANFO,cylindrical,7.23,8.234,4.2584,steel_frame,1.051,90.066,7.837,none
1.785,TNT,hemispherical,3.569,23.878,15.6247,steel_frame,0.948,13.607,1.86,none
12.005,C4,spherical,16.446,154.981,60.9425,rc_wall,0.875,7.406,1.395,none
187.737,RDX,cylindrical,390.493,26.404,3.6125,steel_frame,0.957,106.009,32.009,minor
582.782,TNT,spherical,582.782,130.919,15.6735,masonry_wall,1.086,13.649,10.413,none
1740.846,ANFO,hemispherical,2854.987,10.376,0.7314,rc_wall,0.874,2453.046,271.368,collapse
2.433,ANFO,hemispherical,3.99,6.356,4.0075,masonry_wall,1.062,96.182,5.927,none
70.133,C4,hemispherical,192.163,2.099,0.3637,rc_wall,1.024,7486.588,216.625,collapse
1984.353,ANFO,cylindrical,2115.32,6.707,0.5225,glazing_window,0.953,4891.656,302.857,collapse
2.319,C4,hemispherical,6.353,28.383,15.3248,glazing_window,1.129,13.471,2.233,none
600.451,RDX,spherical,960.721,10.465,1.0606,masonry_wall,0.969,1187.79,131.558,collapse
1.448,ANFO,hemispherical,2.374,57.862,43.3715,glazing_window,1.112,7.714,0.743,none
3.844,RDX,spherical,6.151,3.825,2.0876,steel_frame,0.932,340.629,14.988,none
308.667,C4,hemispherical,845.748,3.32,0.3511,steel_frame,1.135,8925.201,348.189,collapse
0.923,ANFO,spherical,0.757,11.983,13.1484,rc_wall,0.97,15.599,1.44,none
2.541,ANFO,hemispherical,4.167,2.578,1.602,masonry_wall,0.811,514.646,13.846,minor
126.134,C4,spherical,172.804,131.669,23.6392,rc_wall,1.279,9.511,4.962,none
0.82,ANFO,hemispherical,1.345,8.542,7.739,steel_frame,0.77,34.186,2.196,none
0.932,RDX,spherical,1.491,190.659,166.8941,masonry_wall,0.7,7.397,0.634,none
22.197,RDX,spherical,35.516,157.927,48.0453,glazing_window,0.972,7.229,1.824,none
0.783,TNT,cylindrical,1.017,198.91,197.7775,rc_wall,1.206,7.74,0.632,none
7.272,C4,hemispherical,19.925,1.12,0.413,rc_wall,0.781,6244.838,79.148,severe
8.722,C4,spherical,11.95,15.032,6.575,masonry_wall,1.017,43.666,5.385,none
668.1,C4,spherical,915.296,14.563,1.4999,rc_wall,0.856,615.991,102.043,severe
393.449,RDX,spherical,629.518,132.884,15.505,rc_wall,0.921,12.117,10.313,none
43.79,TNT,hemispherical,87.58,41.534,9.3526,rc_wall,0.974,27.542,7.899,none
1055.009,TNT,hemispherical,2110.018,19.207,1.4975,steel_frame,0.984,629.532,136.76,collapse
226.534,ANFO,hemispherical,371.515,40.871,5.6854,steel_frame,1.027,52.466,21.281,none
1489.959,ANFO,hemispherical,2443.533,1.578,0.1171,steel_frame,0.93,13654.474,903.011,collapse
50.572,C4,hemispherical,138.566,194.707,37.6268,masonry_wall,1.153,7.652,2.962,none
886.956,TNT,spherical,886.956,104.064,10.831,glazing_window,0.964,21.241,15.856,severe
1.772,C4,cylindrical,3.157,1.472,1.0036,rc_wall,1.0,1602.18,20.05,none
12.921,TNT,hemispherical,25.842,13.81,4.6713,rc_wall,0.882,85.272,9.206,none
1.68,RDX,cylindrical,3.494,9.448,6.2265,masonry_wall,0.829,52.002,3.951,none
163.252,RDX,spherical,261.203,1.729,0.2705,glazing_window,1.101,11510.586,267.242,collapse
2.0,TNT,cylindrical,2.599,28.385,20.644,masonry_wall,0.987,9.113,1.338,none
8.584,C4,cylindrical,15.288,7.951,3.2038,masonry_wall,1.129,139.396,13.328,none
6.006,TNT,cylindrical,7.807,33.696,16.9855,glazing_window,0.827,12.714,2.104,none
7.557,TNT,cylindrical,9.824,69.588,32.4916,glazing_window,0.918,8.004,1.526,none
284.442,C4,hemispherical,779.372,7.666,0.833,rc_wall,0.797,1929.682,157.027,collapse
0.8,C4,cylindrical,1.424,8.726,7.7561,steel_frame,0.965,33.988,2.412,none
449.445,TNT,hemispherical,898.889,16.095,1.6677,rc_wall,1.242,546.371,94.888,moderate
1.352,TNT,spherical,1.352,180.549,163.2659,glazing_window,0.976,6.592,0.675,none
0.98,C4,cylindrical,1.745,11.829,9.8257,steel_frame,1.027,22.123,2.171,none
539.927,RDX,hemispherical,1727.768,4.614,0.3845,glazing_window,1.141,6337.727,419.903,collapse
7.882,ANFO,spherical,6.463,7.515,4.0345,masonry_wall,0.904,106.84,7.344,none
88.17,TNT,spherical,88.17,7.896,1.7741,masonry_wall,0.96,388.714,36.076,moderate
1.549,TNT,cylindrical,2.014,1.574,1.2465,masonry_wall,0.752,862.584,14.795,minor
4.186,C4,cylindrical,7.456,17.191,8.7998,rc_wall,1.001,27.814,3.573,none
37.247,ANFO,spherical,30.543,28.666,9.1707,masonry_wall,1.291,25.814,5.813,none
0.791,ANFO,cylindrical,0.844,35.684,37.7644,masonry_wall,0.932,7.333,0.509,none
1773.952,RDX,hemispherical,5676.645,38.96,2.184,rc_wall,1.024,343.8,128.999,severe
0.867,RDX,spherical,1.387,3.253,2.9164,rc_wall,0.999,199.397,5.844,none
1082.317,C4,cylindrical,1927.607,2.49,0.2001,glazing_window,1.064,16322.033,842.42,collapse
3.846,TNT,cylindrical,5.0,170.395,99.6493,masonry_wall,1.3,7.683,0.91,none
627.594,C4,spherical,859.804,19.582,2.0594,rc_wall,0.905,350.914,72.029,moderate
1.015,ANFO,cylindrical,1.082,1.95,1.8992,steel_frame,1.04,412.177,8.664,none
0.518,TNT,cylindrical,0.673,5.224,5.9611,steel_frame,1.09,43.195,2.079,none
2.673,ANFO,spherical,2.192,45.703,35.1816,glazing_window,0.952,7.633,0.824,none
676.654,C4,cylindrical,1205.121,2.543,0.239,masonry_wall,0.983,11765.732,649.976,collapse
1253.141,RDX,hemispherical,4010.052,33.778,2.1261,steel_frame,1.1,297.621,98.67,severe
4.939,C4,spherical,6.766,27.908,14.755,glazing_window,0.833,14.593,2.254,none
8.334,TNT,cylindrical,10.834,39.425,17.8174,rc_wall,1.003,12.17,2.356,none
1999.125,TNT,hemispherical,3998.251,1.238,0.078,glazing_window,0.985,16269.658,935.227,collapse
730.317,C4,cylindrical,1300.695,10.778,0.9873,glazing_window,1.089,1488.39,162.128,collapse
9.182,RDX,cylindrical,19.098,126.914,47.4807,masonry_wall,1.065,6.849,1.43,none
10.503,ANFO,hemispherical,17.226,87.413,33.8466,glazing_window,0.75,8.89,1.624,none
1.182,RDX,cylindrical,2.458,6.825,5.057,masonry_wall,0.932,69.344,4.427,none
3.197,C4,spherical,4.38,19.547,11.9475,masonry_wall,1.059,19.839,2.511,none
1.08,C4,cylindrical,1.924,15.331,12.3259,rc_wall,1.198,13.483,1.846,none
381.138,ANFO,spherical,312.533,9.243,1.3621,masonry_wall,1.066,681.426,78.579,collapse
32.499,TNT,cylindrical,42.249,11.547,3.3153,rc_wall,0.815,133.872,15.505,none
3.607,RDX,cylindrical,7.503,132.005,67.4282,glazing_window,1.055,8.065,1.293,none
1833.842,TNT,hemispherical,3667.684,115.811,7.5096,steel_frame,1.195,33.966,33.036,none
